category_id,category_title,category_thai,conversation_id,conversation_no,conversation_title,line_no,speaker,english,thai
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_02_getting-ready,2,Getting Ready,8,B,Thanks. I have a meeting today.,ขอบคุณ วันนี้ฉันมีประชุม
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_02_getting-ready,2,Getting Ready,9,A,Don’t forget your bag.,อย่าลืมกระเป๋านะ
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_02_getting-ready,2,Getting Ready,10,B,Thanks for reminding me.,ขอบคุณที่เตือนนะ
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_03_breakfast,3,Breakfast,1,A,What do you want for breakfast?,อยากกินอะไรเป็นอาหารเช้า
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_03_breakfast,3,Breakfast,2,B,I want eggs and toast.,ฉันอยากกินไข่กับขนมปังปิ้ง
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_03_breakfast,3,Breakfast,3,A,Do you want coffee too?,เอากาแฟด้วยไหม
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_03_breakfast,3,Breakfast,4,B,"Yes, but not too sweet.",เอา แต่ไม่หวานมากนะ
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_03_breakfast,3,Breakfast,5,A,Do you have enough time to eat?,มีเวลากินพอไหม
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_03_breakfast,3,Breakfast,6,B,"Yes, I have about twenty minutes.",มี ประมาณยี่สิบนาที
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_03_breakfast,3,Breakfast,7,A,That should be enough.,น่าจะพอแล้ว
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_03_breakfast,3,Breakfast,8,B,I don’t want to skip breakfast.,ฉันไม่อยากข้ามมื้อเช้า
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_03_breakfast,3,Breakfast,9,A,Good. Breakfast gives you energy.,ดีเลย อาหารเช้าช่วยให้มีพลังงาน
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_03_breakfast,3,Breakfast,10,B,Exactly. I feel better when I eat.,ใช่เลย ฉันรู้สึกดีขึ้นเวลาฉันกิน
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_04_leaving-home,4,Leaving Home,1,A,Are you leaving now?,จะออกจากบ้านตอนนี้เลยไหม
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_04_leaving-home,4,Leaving Home,2,B,"Yes, I need to catch the bus.",ใช่ ฉันต้องไปขึ้นรถบัส
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_04_leaving-home,4,Leaving Home,3,A,Did you take your keys?,เอากุญแจไปหรือยัง
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_04_leaving-home,4,Leaving Home,4,B,"Yes, they are in my pocket.",เอาแล้ว อยู่ในกระเป๋ากางเกง
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_04_leaving-home,4,Leaving Home,5,A,How long is your commute?,เดินทางนานแค่ไหน
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_04_leaving-home,4,Leaving Home,6,B,About forty minutes.,ประมาณสี่สิบนาที
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_04_leaving-home,4,Leaving Home,7,A,Be careful on the road.,ระวังบนถนนด้วยนะ
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_04_leaving-home,4,Leaving Home,8,B,I will. Thanks.,ได้เลย ขอบคุณนะ
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_04_leaving-home,4,Leaving Home,9,A,Have a great day.,ขอให้วันนี้เป็นวันที่ดีนะ
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_04_leaving-home,4,Leaving Home,10,B,You too. See you later.,เธอก็เหมือนกัน แล้วเจอกัน
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_05_morning-plan,5,Morning Plan,1,A,What is your plan for this morning?,เช้านี้มีแผนอะไรบ้าง
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_05_morning-plan,5,Morning Plan,2,B,I need to reply to emails first.,ฉันต้องตอบอีเมลก่อน
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_05_morning-plan,5,Morning Plan,3,A,Do you have a meeting?,มีประชุมไหม
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_05_morning-plan,5,Morning Plan,4,B,"Yes, at nine o’clock.",มี ตอนเก้าโมง
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_05_morning-plan,5,Morning Plan,5,A,Do you need to prepare anything?,ต้องเตรียมอะไรไหม
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_05_morning-plan,5,Morning Plan,6,B,I need to review my notes.,ฉันต้องทบทวนโน้ตของฉัน
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_05_morning-plan,5,Morning Plan,7,A,That sounds important.,ฟังดูสำคัญนะ
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_05_morning-plan,5,Morning Plan,8,B,"Yes, I want to be ready.",ใช่ ฉันอยากพร้อม
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_05_morning-plan,5,Morning Plan,9,A,You can do it.,คุณทำได้แน่นอน
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_05_morning-plan,5,Morning Plan,10,B,Thanks. I’ll do my best.,ขอบคุณ ฉันจะทำให้ดีที่สุด
customer-service,Customer Service,บริการลูกค้า,customer-service_01_greeting-a-customer,1,Greeting a Customer,1,A,Good afternoon. How can I help you today?,สวัสดีตอนบ่าย วันนี้ให้ช่วยอะไรได้บ้างครับ/คะ
customer-service,Customer Service,บริการลูกค้า,customer-service_01_greeting-a-customer,1,Greeting a Customer,2,B,"Hi, I’m looking for my order.",สวัสดี ฉันกำลังตามหาคำสั่งซื้อของฉัน
customer-service,Customer Service,บริการลูกค้า,customer-service_01_greeting-a-customer,1,Greeting a Customer,3,A,Sure. May I have your order number?,ได้เลย ขอเลขคำสั่งซื้อได้ไหมครับ/คะ
customer-service,Customer Service,บริการลูกค้า,customer-service_01_greeting-a-customer,1,Greeting a Customer,4,B,"Yes, it is 2458.",ได้ หมายเลขคือ 2458
customer-service,Customer Service,บริการลูกค้า,customer-service_01_greeting-a-customer,1,Greeting a Customer,5,A,Thank you. Please wait a moment.,ขอบคุณ กรุณารอสักครู่
customer-service,Customer Service,บริการลูกค้า,customer-service_01_greeting-a-customer,1,Greeting a Customer,6,B,No problem.,ได้เลย
customer-service,Customer Service,บริการลูกค้า,customer-service_01_greeting-a-customer,1,Greeting a Customer,7,A,Your order is out for delivery today.,คำสั่งซื้อของคุณกำลังจัดส่งวันนี้
customer-service,Customer Service,บริการลูกค้า,customer-service_01_greeting-a-customer,1,Greeting a Customer,8,B,Great. What time will it arrive?,ดีมาก จะมาถึงกี่โมง
customer-service,Customer Service,บริการลูกค้า,customer-service_01_greeting-a-customer,1,Greeting a Customer,9,A,It should arrive before six p.m.,น่าจะมาถึงก่อนหกโมงเย็น
customer-service,Customer Service,บริการลูกค้า,customer-service_01_greeting-a-customer,1,Greeting a Customer,10,B,Thank you for your help.,ขอบคุณที่ช่วยนะ
customer-service,Customer Service,บริการลูกค้า,customer-service_02_handling-a-complaint,2,Handling a Complaint,1,A,What seems to be the problem?,ปัญหาคืออะไรครับ/คะ
customer-service,Customer Service,บริการลูกค้า,customer-service_02_handling-a-complaint,2,Handling a Complaint,2,B,The item I received is damaged.,สินค้าที่ฉันได้รับเสียหาย
customer-service,Customer Service,บริการลูกค้า,customer-service_02_handling-a-complaint,2,Handling a Complaint,3,A,I’m sorry to hear that.,เสียใจด้วยนะครับ/คะ
customer-service,Customer Service,บริการลูกค้า,customer-service_02_handling-a-complaint,2,Handling a Complaint,4,B,Can I get a replacement?,ฉันขอเปลี่ยนสินค้าได้ไหม
customer-service,Customer Service,บริการลูกค้า,customer-service_02_handling-a-complaint,2,Handling a Complaint,5,A,"Yes, we can replace it for you.",ได้ครับ/ค่ะ เราเปลี่ยนให้คุณได้
customer-service,Customer Service,บริการลูกค้า,customer-service_02_handling-a-complaint,2,Handling a Complaint,6,B,Do I need to send the old one back?,ฉันต้องส่งของเก่ากลับไหม
customer-service,Customer Service,บริการลูกค้า,customer-service_02_handling-a-complaint,2,Handling a Complaint,7,A,"Yes, please send it back with the receipt.",ใช่ กรุณาส่งกลับพร้อมใบเสร็จ
customer-service,Customer Service,บริการลูกค้า,customer-service_02_handling-a-complaint,2,Handling a Complaint,8,B,"Okay, I can do that.",โอเค ฉันทำได้
customer-service,Customer Service,บริการลูกค้า,customer-service_02_handling-a-complaint,2,Handling a Complaint,9,A,We apologize for the inconvenience.,ขออภัยในความไม่สะดวก
customer-service,Customer Service,บริการลูกค้า,customer-service_02_handling-a-complaint,2,Handling a Complaint,10,B,Thank you for solving this.,ขอบคุณที่ช่วยแก้ปัญหานี้
customer-service,Customer Service,บริการลูกค้า,customer-service_03_refund-request,3,Refund Request,1,A,How may I assist you?,ให้ช่วยอย่างไรดีครับ/คะ
customer-service,Customer Service,บริการลูกค้า,customer-service_03_refund-request,3,Refund Request,2,B,I would like to ask for a refund.,ฉันอยากขอคืนเงิน
customer-service,Customer Service,บริการลูกค้า,customer-service_03_refund-request,3,Refund Request,3,A,May I ask why?,ขอทราบเหตุผลได้ไหม
customer-service,Customer Service,บริการลูกค้า,customer-service_03_refund-request,3,Refund Request,4,B,The product does not work.,สินค้าใช้งานไม่ได้
customer-service,Customer Service,บริการลูกค้า,customer-service_03_refund-request,3,Refund Request,5,A,I understand. Do you have the receipt?,เข้าใจครับ/ค่ะ คุณมีใบเสร็จไหม
customer-service,Customer Service,บริการลูกค้า,customer-service_03_refund-request,3,Refund Request,6,B,"Yes, here it is.",มี นี่ครับ/ค่ะ
customer-service,Customer Service,บริการลูกค้า,customer-service_03_refund-request,3,Refund Request,7,A,Thank you. We can process the refund today.,ขอบคุณ เราดำเนินการคืนเงินให้วันนี้ได้
customer-service,Customer Service,บริการลูกค้า,customer-service_03_refund-request,3,Refund Request,8,B,How long will it take?,ใช้เวลานานแค่ไหน
customer-service,Customer Service,บริการลูกค้า,customer-service_03_refund-request,3,Refund Request,9,A,It usually takes three to five business days.,ปกติใช้เวลาสามถึงห้าวันทำการ
customer-service,Customer Service,บริการลูกค้า,customer-service_03_refund-request,3,Refund Request,10,B,That’s fine. Thank you.,ได้เลย ขอบคุณ
customer-service,Customer Service,บริการลูกค้า,customer-service_04_product-information,4,Product Information,1,A,Are you looking for anything specific?,กำลังมองหาอะไรเป็นพิเศษไหมครับ/คะ
customer-service,Customer Service,บริการลูกค้า,customer-service_04_product-information,4,Product Information,2,B,"Yes, I need a phone charger.",ใช่ ฉันต้องการที่ชาร์จโทรศัพท์
customer-service,Customer Service,บริการลูกค้า,customer-service_04_product-information,4,Product Information,3,A,What type of phone do you use?,คุณใช้โทรศัพท์รุ่นไหน
customer-service,Customer Service,บริการลูกค้า,customer-service_04_product-information,4,Product Information,4,B,I use an Android phone.,ฉันใช้โทรศัพท์แอนดรอยด์
customer-service,Customer Service,บริการลูกค้า,customer-service_04_product-information,4,Product Information,5,A,This charger should work with your phone.,ที่ชาร์จนี้น่าจะใช้กับโทรศัพท์คุณได้
customer-service,Customer Service,บริการลูกค้า,customer-service_04_product-information,4,Product Information,6,B,Is it fast charging?,เป็นแบบชาร์จเร็วไหม
customer-service,Customer Service,บริการลูกค้า,customer-service_04_product-information,4,Product Information,7,A,"Yes, it supports fast charging.",ใช่ รองรับชาร์จเร็ว
customer-service,Customer Service,บริการลูกค้า,customer-service_04_product-information,4,Product Information,8,B,How much is it?,ราคาเท่าไหร่
customer-service,Customer Service,บริการลูกค้า,customer-service_04_product-information,4,Product Information,9,A,It is 350 baht.,ราคา 350 บาท
customer-service,Customer Service,บริการลูกค้า,customer-service_04_product-information,4,Product Information,10,B,"Okay, I’ll take it.",โอเค เอาอันนี้
customer-service,Customer Service,บริการลูกค้า,customer-service_05_closing-service,5,Closing Service,1,A,Is there anything else I can help you with?,มีอะไรให้ช่วยเพิ่มเติมไหมครับ/คะ
customer-service,Customer Service,บริการลูกค้า,customer-service_05_closing-service,5,Closing Service,2,B,"No, that’s all for now.",ไม่มีแล้ว ตอนนี้พอแล้ว
customer-service,Customer Service,บริการลูกค้า,customer-service_05_closing-service,5,Closing Service,3,A,Thank you for visiting us.,ขอบคุณที่มาใช้บริการ
customer-service,Customer Service,บริการลูกค้า,customer-service_05_closing-service,5,Closing Service,4,B,Thank you for your support.,ขอบคุณสำหรับการช่วยเหลือ
customer-service,Customer Service,บริการลูกค้า,customer-service_05_closing-service,5,Closing Service,5,A,We hope you enjoy the product.,หวังว่าคุณจะชอบสินค้านะครับ/คะ
customer-service,Customer Service,บริการลูกค้า,customer-service_05_closing-service,5,Closing Service,6,B,I think I will.,ฉันคิดว่าน่าจะชอบ
customer-service,Customer Service,บริการลูกค้า,customer-service_05_closing-service,5,Closing Service,7,A,Have a nice day.,ขอให้เป็นวันที่ดี
customer-service,Customer Service,บริการลูกค้า,customer-service_05_closing-service,5,Closing Service,8,B,You too.,คุณก็เช่นกัน
customer-service,Customer Service,บริการลูกค้า,customer-service_05_closing-service,5,Closing Service,9,A,Please come again.,โอกาสหน้าเชิญใหม่นะครับ/คะ
customer-service,Customer Service,บริการลูกค้า,customer-service_05_closing-service,5,Closing Service,10,B,Sure. Goodbye.,แน่นอน ลาก่อน
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_01_self-introduction,1,Self Introduction,1,A,Please tell me about yourself.,กรุณาแนะนำตัวให้ฟังหน่อย
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_01_self-introduction,1,Self Introduction,2,B,My name is Team. I recently graduated in business administration.,ผมชื่อทีม เพิ่งจบด้านบริหารธุรกิจ
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_01_self-introduction,1,Self Introduction,3,A,What kind of work are you interested in?,คุณสนใจงานแบบไหน
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_01_self-introduction,1,Self Introduction,4,B,I am interested in marketing and content creation.,ผมสนใจงานการตลาดและการสร้างคอนเทนต์
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_01_self-introduction,1,Self Introduction,5,A,Why are you interested in this field?,ทำไมถึงสนใจสายงานนี้
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_01_self-introduction,1,Self Introduction,6,B,I enjoy understanding customers and creating useful content.,ผมชอบเข้าใจลูกค้าและสร้างคอนเทนต์ที่มีประโยชน์
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_01_self-introduction,1,Self Introduction,7,A,Do you have any related experience?,มีประสบการณ์ที่เกี่ยวข้องไหม
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_01_self-introduction,1,Self Introduction,8,B,I have created short videos and used AI tools to improve my work.,ผมเคยทำวิดีโอสั้นและใช้เครื่องมือ AI ช่วยพัฒนางาน
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_01_self-introduction,1,Self Introduction,9,A,That sounds interesting.,ฟังดูน่าสนใจ
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_01_self-introduction,1,Self Introduction,10,B,Thank you. I am ready to learn and grow.,ขอบคุณครับ ผมพร้อมเรียนรู้และเติบโต
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_02_strengths,2,Strengths,1,A,What are your strengths?,จุดแข็งของคุณคืออะไร
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_02_strengths,2,Strengths,2,B,I learn quickly and adapt well.,ผมเรียนรู้เร็วและปรับตัวได้ดี
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_02_strengths,2,Strengths,3,A,Can you give me an example?,ยกตัวอย่างได้ไหม
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_02_strengths,2,Strengths,4,B,"When I learn a new tool, I practice until I can use it well.",เวลาผมเรียนเครื่องมือใหม่ ผมฝึกจนใช้งานได้ดี
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_02_strengths,2,Strengths,5,A,How do you work with a team?,คุณทำงานเป็นทีมอย่างไร
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_02_strengths,2,Strengths,6,B,I listen to others and communicate clearly.,ผมรับฟังคนอื่นและสื่อสารให้ชัดเจน
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_02_strengths,2,Strengths,7,A,What do you do when there is a problem?,เวลามีปัญหาคุณทำอย่างไร
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_02_strengths,2,Strengths,8,B,I stay calm and look for a practical solution.,ผมตั้งสติและหาทางแก้ที่ใช้ได้จริง
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_02_strengths,2,Strengths,9,A,That is a good attitude.,นั่นเป็นทัศนคติที่ดี
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_02_strengths,2,Strengths,10,B,Thank you. I always try to improve.,ขอบคุณครับ ผมพยายามพัฒนาตัวเองเสมอ
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_03_work-experience,3,Work Experience,1,A,Do you have work experience?,คุณมีประสบการณ์ทำงานไหม
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_03_work-experience,3,Work Experience,2,B,I have experience with online content and customer communication.,ผมมีประสบการณ์ด้านคอนเทนต์ออนไลน์และการสื่อสารกับลูกค้า
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_03_work-experience,3,Work Experience,3,A,What tasks did you do?,คุณทำงานอะไรบ้าง
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_03_work-experience,3,Work Experience,4,B,"I planned posts, edited videos, and replied to messages.",ผมวางแผนโพสต์ ตัดต่อวิดีโอ และตอบข้อความ
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_03_work-experience,3,Work Experience,5,A,What did you learn from that?,คุณเรียนรู้อะไรจากงานนั้น
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_03_work-experience,3,Work Experience,6,B,I learned to be responsible and work on time.,ผมเรียนรู้เรื่องความรับผิดชอบและการทำงานให้ตรงเวลา
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_03_work-experience,3,Work Experience,7,A,Can you handle feedback?,คุณรับคำติชมได้ไหม
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_03_work-experience,3,Work Experience,8,B,"Yes, I use feedback to improve my work.",ได้ครับ ผมใช้คำติชมเพื่อพัฒนางาน
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_03_work-experience,3,Work Experience,9,A,That is important here.,สิ่งนั้นสำคัญกับที่นี่
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_03_work-experience,3,Work Experience,10,B,"I understand, and I am willing to learn.",ผมเข้าใจ และผมเต็มใจเรียนรู้
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_04_salary-and-start-date,4,Salary and Start Date,1,A,What salary do you expect?,คุณคาดหวังเงินเดือนเท่าไหร่
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_04_salary-and-start-date,4,Salary and Start Date,2,B,I am open to discussing a fair starting salary.,ผมเปิดรับการพูดคุยเรื่องเงินเดือนเริ่มต้นที่เหมาะสม
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_04_salary-and-start-date,4,Salary and Start Date,3,A,Do you have a range in mind?,มีช่วงเงินเดือนในใจไหม
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_04_salary-and-start-date,4,Salary and Start Date,4,B,"I expect around 18,000 to 22,000 baht, depending on the role.","ผมคาดหวังประมาณ 18,000 ถึง 22,000 บาท ขึ้นอยู่กับหน้าที่"
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_04_salary-and-start-date,4,Salary and Start Date,5,A,When can you start working?,คุณเริ่มงานได้เมื่อไหร่
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_04_salary-and-start-date,4,Salary and Start Date,6,B,I can start immediately.,ผมเริ่มได้ทันที
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_04_salary-and-start-date,4,Salary and Start Date,7,A,Are you available for full-time work?,คุณพร้อมทำงานเต็มเวลาไหม
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_04_salary-and-start-date,4,Salary and Start Date,8,B,"Yes, I am available full time.",พร้อมครับ ผมทำงานเต็มเวลาได้
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_04_salary-and-start-date,4,Salary and Start Date,9,A,Thank you for your answer.,ขอบคุณสำหรับคำตอบ
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_04_salary-and-start-date,4,Salary and Start Date,10,B,Thank you for the opportunity.,ขอบคุณสำหรับโอกาสครับ
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_05_asking-questions,5,Asking Questions,1,A,Do you have any questions for us?,คุณมีคำถามอะไรถึงเราไหม
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_05_asking-questions,5,Asking Questions,2,B,"Yes, what would be my main responsibilities?",มีครับ หน้าที่หลักของผมจะมีอะไรบ้าง
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_05_asking-questions,5,Asking Questions,3,A,You would help with content planning and customer engagement.,คุณจะช่วยวางแผนคอนเทนต์และดูแลการมีส่วนร่วมของลูกค้า
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_05_asking-questions,5,Asking Questions,4,B,That sounds good. Will there be training?,ฟังดูดีครับ จะมีการฝึกอบรมไหม
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_05_asking-questions,5,Asking Questions,5,A,"Yes, we provide training for new employees.",มี เรามีการฝึกอบรมสำหรับพนักงานใหม่
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_05_asking-questions,5,Asking Questions,6,B,Great. How do you measure success in this role?,ดีมากครับ ตำแหน่งนี้วัดความสำเร็จอย่างไร
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_05_asking-questions,5,Asking Questions,7,A,"We look at content quality, teamwork, and results.",เราดูคุณภาพคอนเทนต์ การทำงานเป็นทีม และผลลัพธ์
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_05_asking-questions,5,Asking Questions,8,B,I understand. That helps me prepare.,เข้าใจครับ สิ่งนี้ช่วยให้ผมเตรียมตัวได้
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_05_asking-questions,5,Asking Questions,9,A,Thank you for coming today.,ขอบคุณที่มาวันนี้
job-interview,Job Interview,สัมภาษณ์งาน,job-interview_05_asking-questions,5,Asking Questions,10,B,Thank you for interviewing me.,ขอบคุณที่สัมภาษณ์ผมครับ
daily-life,Daily Life,ชีวิตประจำวัน,daily-life_01_after-work,1,After Work,1,A,What do you usually do after work?,ปกติหลังเลิกงานคุณทำอะไร
daily-life,Daily Life,ชีวิตประจำวัน,daily-life_01_after-work,1,After Work,2,B,I usually go home and rest.,ปกติฉันกลับบ้านและพักผ่อน
daily-life,Daily Life,ชีวิตประจำวัน,daily-life_01_after-work,1,After Work,3,A,Do you cook dinner?,คุณทำอาหารเย็นไหม
daily-life,Daily Life,ชีวิตประจำวัน,daily-life_01_after-work,1,After Work,4,B,"Sometimes I cook, but sometimes I buy food.",บางครั้งฉันทำอาหาร แต่บางครั้งก็ซื้อกิน
daily-life,Daily Life,ชีวิตประจำวัน,daily-life_01_after-work,1,After Work,5,A,Do you exercise after work?,คุณออกกำลังกายหลังเลิกงานไหม
daily-life,Daily Life,ชีวิตประจำวัน,daily-life_01_after-work,1,After Work,6,B,"Yes, I go to the gym three times a week.",ใช่ ฉันไปยิมสัปดาห์ละสามครั้ง
daily-life,Daily Life,ชีวิตประจำวัน,daily-life_01_after-work,1,After Work,7,A,That is a good habit.,นั่นเป็นนิสัยที่ดี
daily-life,Daily Life,ชีวิตประจำวัน,daily-life_01_after-work,1,After Work,8,B,Thanks. It helps me feel better.,ขอบคุณ มันช่วยให้ฉันรู้สึกดีขึ้น
daily-life,Daily Life,ชีวิตประจำวัน,daily-life_01_after-work,1,After Work,9,A,Do you sleep early?,คุณนอนเร็วไหม
daily-life,Daily Life,ชีวิตประจำวัน,daily-life_01_after-work,1,After Work,10,B,I try to sleep before eleven.,ฉันพยายามนอนก่อนห้าทุ่ม
daily-life,Daily Life,ชีวิตประจำวัน,daily-life_02_doing-laundry,2,Doing Laundry,1,A,Are you doing laundry today?,วันนี้จะซักผ้าไหม
daily-life,Daily Life,ชีวิตประจำวัน,daily-life_02_doing-laundry,2,Doing Laundry,2,B,"Yes, I have a lot of clothes to wash.",ใช่ ฉันมีเสื้อผ้าต้องซักเยอะ
