category_id,category_title,category_thai,question_no,question_english,question_thai,answer_example,useful_phrases
morning-routine,Morning Routine,กิจวัตรตอนเช้า,1,What time do you usually wake up?,ปกติคุณตื่นกี่โมง,"I usually wake up at 7 AM.","At [time]|Around [time]|I usually wake up at..."
online-chat,Online Chat,แชตออนไลน์,4,I’ll reply soon.,ฉันจะตอบเร็ว ๆ นี้,"That sounds interesting.","Well,...|I think...|Usually..."
online-chat,Online Chat,แชตออนไลน์,5,Can you attach the file?,แนบไฟล์ได้ไหม,"That sounds interesting.","Well,...|I think...|Usually..."
online-chat,Online Chat,แชตออนไลน์,6,Please confirm the details.,กรุณายืนยันรายละเอียด,"That sounds interesting.","Well,...|I think...|Usually..."
online-chat,Online Chat,แชตออนไลน์,7,Sorry for the late reply.,ขอโทษที่ตอบช้า,"That sounds interesting.","Well,...|I think...|Usually..."
online-chat,Online Chat,แชตออนไลน์,8,Can you send a screenshot?,ส่งภาพหน้าจอได้ไหม,"That sounds interesting.","Well,...|I think...|Usually..."
online-chat,Online Chat,แชตออนไลน์,9,Let me check it first.,ขอตรวจดูก่อน,"That sounds interesting.","Well,...|I think...|Usually..."
online-chat,Online Chat,แชตออนไลน์,10,Thanks for the update.,ขอบคุณสำหรับการอัปเดต,"That sounds interesting.","Well,...|I think...|Usually..."
health-fitness,Health & Fitness,สุขภาพและฟิตเนส,1,Do you work out?,คุณออกกำลังกายไหม,"Yes, I like spicy food.","Yes, I do.|No, I don't.|Sometimes."
health-fitness,Health & Fitness,สุขภาพและฟิตเนส,2,How often do you go to the gym?,คุณไปยิมบ่อยแค่ไหน,"That sounds interesting.","Well,...|I think...|Usually..."
health-fitness,Health & Fitness,สุขภาพและฟิตเนส,3,What is your fitness goal?,เป้าหมายฟิตเนสของคุณคืออะไร,"I am working on a new project.","I am...|It is...|I think..."
health-fitness,Health & Fitness,สุขภาพและฟิตเนส,4,Do you do cardio?,คุณทำคาร์ดิโอไหม,"Yes, I like spicy food.","Yes, I do.|No, I don't.|Sometimes."
health-fitness,Health & Fitness,สุขภาพและฟิตเนส,5,What do you eat after a workout?,หลังออกกำลังกายคุณกินอะไร,"That sounds interesting.","Well,...|I think...|Usually..."
health-fitness,Health & Fitness,สุขภาพและฟิตเนส,6,Do you warm up before training?,คุณอบอุ่นร่างกายก่อนซ้อมไหม,"Yes, I like spicy food.","Yes, I do.|No, I don't.|Sometimes."
health-fitness,Health & Fitness,สุขภาพและฟิตเนส,7,How long is your workout?,คุณออกกำลังกายนานแค่ไหน,"That sounds interesting.","Well,...|I think...|Usually..."
health-fitness,Health & Fitness,สุขภาพและฟิตเนส,8,Do you have a rest day?,คุณมีวันพักไหม,"Yes, I like spicy food.","Yes, I do.|No, I don't.|Sometimes."
health-fitness,Health & Fitness,สุขภาพและฟิตเนส,9,I want to lose weight.,ฉันอยากลดน้ำหนัก,"That sounds interesting.","Well,...|I think...|Usually..."
health-fitness,Health & Fitness,สุขภาพและฟิตเนส,10,I want to build muscle.,ฉันอยากสร้างกล้ามเนื้อ,"That sounds interesting.","Well,...|I think...|Usually..."
